Song,Artist,Section,Progression,Roman Numerals
We Never Change,Coldplay,Verse Part 1,F#m E,vi V
We Never Change,Coldplay,Verse Part 2,Bm F#m E,ii vi V
We Never Change,Coldplay,Chorus,Aadd9 C#m7 ,Iadd9 iii7
Back for Good,Take That,Chorus,F Gm7 Bb C,I ii7 IV V
Shake It Off,Taylor Swift,Verse,Am C G,ii IV I
Everything in its Right Place,Radiohead,Intro,C Dbmaj7 Eb6,I IImaj7 bIII6
Everything I Wanted,Billie Eilish,Verse,Dmaj7 E C#m,IVmaj7 V iii
Everything I Wanted,Billie Eilish,Chorus,Dmaj7 E C#7,IVmaj7 V III7
Goodbyes,Post Malone,Verse,F A7 Dm Bb,I III7 vi IV
Goodbyes,Post Malone,Pre-Chorus,Gm C A7 Dm Bb Bbm F,ii V III7 vi IV iv I
Clocks,Coldplay,Chorus,Eb Bbm Fm,I v ii
I Knew You Were Trouble,Taylor Swift,Verse,F# C# D#m B,I V vi IV
The Scientist,Coldplay,Chorus,Dm7 Bb F,vi7 IV I
Cry Me A River,Justin Timberlake,Intro Part 1,G#m D#7 E C#dim,I V7 VI ivdim
Cry Me A River,Justin Timberlake,Intro Part 2,G#m D#7 E C#m,I V7 VI iv
Location,Khalid,Chorus,Amaj7 G#7 C#m7 F#m7,VImaj7 V7 i7 iv7
Fix You,Coldplay,Chorus,Ab Eb Bb,IV I V
Fix You,Coldplay,Bridge,Eb6 Ab Eb Bb,I6 IV I V
Fix You,Coldplay,Bridge Alt,Cm Ab Eb Bb,vi IV I V
Goodbye Yellow Brick Road,Elton John,Pre-Chorus,Bbm7 Eb7 Ab Db Bbm C7,iv7 bVII7 bIII bVI iv V7
Wake Me Up,Avicii,Chorus Part 1,Bm G D,vi IV I
Wake Me Up,Avicii,Chorus Part 2,Bm G D F#7,i VI III V7
Take On Me,A-ha,Verse,Bm7 E7 A Dmaj7 C#m7,ii7 V7 I IVmaj7 iii7
Take On Me,A-ha,Chorus Part 1,A C#m7 F#m7 D,I iii7 vi7 IV
Take On Me,A-ha,Chorus Part 2,A C#m7 D E,I iii7 IV V
A Day in the Life,The Beatles,Solo,C G D A E,VI III VII IV I
All My Loving,The Beatles,Verse,F#m7 B E C#m A F#m D B7,ii7 V I vi IV ii bVII V7
All My Loving,The Beatles,Chorus,C#m C+ E,vi bVI+ I
Across the Universe,The Beatles,Verse Part 1,Db Bbm Fm Ebm7 Ab7,I vi iii ii7 V7
Across the Universe,The Beatles,Verse Part 2,Db Bbm Fm Ebm7 Gbm,I vi iii ii7 iv
Across the Universe,The Beatles,Chorus,Db Ab7 Gb,I V7 IV
Imagine,John Lennon,Verse,C F,I IV
Imagine,John Lennon,Bridge,F G C E,IV V I III
Imagine,John Lennon,Bridge Alt,F G C E7,IV V I III7